"","teams","PTS","FGM","FGA","FG","X3PM","X3PA","X3P","FTM","FTA","FT","OR","DR","REB","AST","STL","BLK","TO","PF","season","playoffs"
"399","LA Clippers",109,40.3,85.4,47.1,9.5,26.8,35.4,19,25.5,74.3,10.1,33.7,43.9,22.3,7.7,4.5,14.1,20,2018,0
"400","Charlotte Hornets",108.2,39,86.7,45,10,27.2,36.9,20.2,27,74.7,10.1,35.4,45.5,21.6,6.8,4.5,12.3,17.2,2018,0
"401","Los Angeles Lakers",108.1,40.7,88.4,46.1,10,29.1,34.5,16.6,23.3,71.4,10.7,35.7,46.4,23.8,7.7,4.7,15.3,21.2,2018,0
"402","Oklahoma City Thunder",107.9,39.9,88,45.3,10.7,30.4,35.4,17.3,24.2,71.6,12.5,32.6,45.1,21.3,9.1,5,13.4,20.2,2018,1
"403","Washington Wizards",106.6,39.9,85.6,46.7,9.9,26.5,37.5,16.8,21.8,77.2,10,33.1,43.1,25.2,7.9,4.3,14,21.3,2018,1
"404","Brooklyn Nets",106.6,38.2,86.8,44.1,12.7,35.7,35.6,17.4,22.6,77.2,9.7,34.8,44.4,23.7,6.2,4.8,14.2,20.6,2018,0
"405","Milwaukee Bucks",106.5,39.7,83,47.8,8.8,24.7,35.5,18.3,23.4,78.3,8.4,31.5,39.8,23.2,8.8,5.4,13.1,21.4,2018,1
"406","Portland Trail Blazers",105.6,39.3,87,45.2,10.3,28.1,36.6,16.7,20.9,80,10.2,35.3,45.5,19.5,7,5.2,13,19.5,2018,1
"407","Indiana Pacers",105.6,40.8,86.4,47.2,9,24.5,36.9,14.9,19.2,77.9,9.6,32.7,42.3,22.2,8.8,4.1,12.8,18.8,2018,1
"408","New York Knicks",104.5,40.7,87.7,46.4,8.2,23.3,35.2,14.9,19,78.7,10.5,33.6,44,23.3,6.7,5.1,14.2,20.5,2018,0
"409","Utah Jazz",104.1,38.3,82.9,46.2,10.8,29.6,36.6,16.8,21.5,77.9,9,34.2,43.3,22.4,8.6,5.1,14.1,19.6,2018,1
"410","Boston Celtics",104,38.3,85.1,45,11.5,30.4,37.7,16,20.7,77.1,9.4,35.1,44.5,22.5,7.4,4.5,13.3,19.7,2018,1
"411","Phoenix Suns",103.9,38.5,87.1,44.2,9.3,27.9,33.4,17.7,23.9,74.1,10.3,33.9,44.1,21.3,6.9,4.5,15,22,2018,0
"412","Detroit Pistons",103.8,39.1,86.9,45,10.8,28.9,37.3,14.7,19.8,74.5,10.1,33.6,43.7,22.8,7.7,3.9,12.7,18.4,2018,0
"413","Miami Heat",103.4,38.8,85.3,45.5,11,30.6,36,14.7,19.5,75.5,9.3,34.2,43.5,22.7,7.6,5.3,13.6,20.1,2018,1
"414","Orlando Magic",103.4,38.8,85.9,45.2,10.3,29.3,35.1,15.5,20.5,75.7,8.8,32.8,41.6,23.4,7.6,4.9,13.9,19.3,2018,0
"415","Atlanta Hawks",103.4,38.2,85.5,44.6,11.2,31,36,15.8,20.2,78.5,9.1,32.8,41.9,23.7,7.8,4.2,15,19.6,2018,0
"416","Chicago Bulls",102.9,38.7,88.8,43.5,11,31.1,35.5,14.6,19.2,75.9,9.6,35,44.7,23.5,7.6,3.5,13.3,19.2,2018,0
"417","San Antonio Spurs",102.7,39,85.4,45.7,8.5,24.1,35.2,16.1,20.9,77.2,10.4,33.9,44.2,22.8,7.7,5.6,12.7,17.2,2018,1
"418","Dallas Mavericks",102.3,38.1,85.9,44.4,11.8,32.8,36,14.2,18.7,76.3,8.1,33.1,41.3,22.7,7,3.8,11.8,19.2,2018,0
"419","Memphis Grizzlies",99.3,36.7,82.8,44.4,9.2,26.2,35.2,16.6,21.1,78.6,9.5,31,40.5,21.5,7.5,4.8,14.4,23.2,2018,0
"420","Sacramento Kings",98.8,38.8,86.1,45,9,24,37.5,12.3,16.7,73.5,9.5,31.4,40.9,21.6,7.8,4.1,13.2,20,2018,0
"421","Milwaukee Bucks",118.1,43.4,91.1,47.6,13.5,38.2,35.3,17.9,23.2,77.3,9.3,40.4,49.7,26,7.5,5.9,13.3,19.6,2019,1
"422","Golden State Warriors",117.7,44,89.8,49.1,13.3,34.4,38.5,16.3,20.4,80.1,9.7,36.5,46.2,29.4,7.6,6.4,13.8,21.4,2019,1
"423","New Orleans Pelicans",115.4,43.7,92.2,47.3,10.3,29.9,34.4,17.8,23.4,76.1,11.1,36.2,47.3,27,7.4,5.4,14.5,21.1,2019,0
"424","Philadelphia 76ers",115.2,41.5,88.2,47.1,10.8,30.2,35.9,21.2,27.5,77.1,10.9,36.9,47.8,26.9,7.4,5.3,14.5,21.3,2019,1
"425","LA Clippers",115.1,41.3,87.5,47.1,10,25.8,38.8,22.6,28.5,79.2,9.7,35.8,45.5,24,6.8,4.7,13.8,23.3,2019,1
"426","Portland Trail Blazers",114.7,42.3,90.6,46.7,11,30.7,35.9,19,23.3,81.4,11.8,36.2,48,23,6.7,5,13.3,20.4,2019,1
"427","Oklahoma City Thunder",114.5,42.6,94,45.4,11.4,32.6,34.8,17.8,25,71.3,12.6,35.5,48.1,23.4,9.3,5.2,13.6,22.4,2019,1
"428","Toronto Raptors",114.4,42.2,89.1,47.4,12.4,33.8,36.6,17.7,22,80.4,9.6,35.6,45.2,25.4,8.3,5.3,13.3,21,2019,1
"429","Sacramento Kings",114.2,43.2,93.1,46.4,11.3,29.9,37.8,16.5,22.7,72.6,11,34.4,45.4,25.4,8.3,4.4,12.9,21.4,2019,0
"430","Washington Wizards",114,42.1,90.1,46.8,11.3,33.3,34.1,18.4,23.9,76.8,9.7,32.7,42.4,26.3,8.3,4.6,13.7,20.7,2019,0
"431","Houston Rockets",113.9,39.2,87.4,44.9,16.1,45.4,35.6,19.3,24.4,79.1,10.2,31.9,42.1,21.2,8.5,4.9,12.7,22,2019,1
"432","Atlanta Hawks",113.3,41.4,91.8,45.1,13,37,35.2,17.6,23.4,75.2,11.6,34.5,46.1,25.8,8.2,5.1,16.6,23.6,2019,0
"433","Minnesota Timberwolves",112.5,41.6,91.3,45.6,10.1,28.7,35.1,19.1,24.3,78.7,11.3,33.5,44.8,24.6,8.3,5,12.6,20.3,2019,0
"434","Boston Celtics",112.4,42.1,90.5,46.5,12.6,34.5,36.5,15.6,19.5,80.2,9.8,34.7,44.5,26.3,8.6,5.3,12.4,20.4,2019,1
"435","Brooklyn Nets",112.2,40.3,89.7,44.9,12.8,36.2,35.3,19,25.5,74.5,11,35.6,46.6,23.8,6.6,4.1,14.4,21.5,2019,1
"436","Los Angeles Lakers",111.8,42.6,90.5,47,10.3,31,33.3,16.3,23.3,69.9,10.2,36.4,46.6,25.6,7.5,5.4,15.2,20.7,2019,0
"437","Utah Jazz",111.7,40.4,86.4,46.8,12.1,34,35.6,18.8,25.5,73.6,10,36.4,46.4,26,8.1,5.9,14.8,21.1,2019,1
"438","San Antonio Spurs",111.7,42.3,88.4,47.8,9.9,25.3,39.2,17.2,21,81.9,9.2,35.5,44.7,24.5,6.1,4.7,11.8,18.1,2019,1
"439","Charlotte Hornets",110.7,40.2,89.8,44.8,11.9,33.9,35.1,18.4,23.1,79.7,9.9,33.9,43.8,23.2,7.2,4.9,11.7,18.9,2019,0
"440","Denver Nuggets",110.7,41.9,90,46.6,11,31.4,35.1,15.8,20.9,75.5,11.9,34.5,46.4,27.4,7.7,4.4,12.9,20,2019,1
"441","Dallas Mavericks",108.9,38.8,86.9,44.7,12.5,36.6,34,18.8,25.3,74.2,10.1,35.2,45.3,23.4,6.5,4.3,13.6,20.1,2019,0
"442","Indiana Pacers",108,41.3,87,47.5,9.5,25.4,37.4,15.8,21.1,75.2,9.3,33.7,43,26,8.7,4.9,13.3,19.4,2019,1
"443","Phoenix Suns",107.5,40.1,87.4,45.9,9.6,29.3,32.9,17.6,22.7,77.9,9.1,31.3,40.4,23.9,9,5.1,15.2,23.6,2019,0
"444","Orlando Magic",107.3,40.4,89.1,45.4,11.4,32.1,35.6,15,19.2,78.2,10,35.4,45.4,25.5,6.6,5.4,12.6,18.6,2019,1
"445","Detroit Pistons",107,38.8,88.3,44,12.1,34.8,34.8,17.3,23.1,74.7,11.4,33.6,45,22.5,6.9,4,13,22.1,2019,1
"446","Miami Heat",105.7,39.6,88,45,11.3,32.4,34.9,15.1,21.7,69.5,11.2,35.1,46.3,24.3,7.6,5.5,14.1,20.9,2019,0
"447","Chicago Bulls",104.9,39.8,87.9,45.3,9.1,25.9,35.1,16.2,20.7,78.3,8.8,34.1,42.9,21.9,7.4,4.3,13.5,20.3,2019,0
"448","New York Knicks",104.6,38.2,88.3,43.3,10,29.5,34,18.1,23.9,75.9,10.5,34.3,44.7,20.1,6.8,5.1,13.4,20.9,2019,0
"449","Cleveland Cavaliers",104.5,38.9,87.6,44.4,10.3,29.1,35.5,16.4,20.7,79.2,10.7,31.9,42.7,20.7,6.5,2.4,12.6,20,2019,0
"450","Memphis Grizzlies",103.5,38,84.4,45,9.9,28.9,34.2,17.7,23,77.2,8.8,33,41.8,23.9,8.3,5.5,13.2,22,2019,0
