"","teams","PTS","FGM","FGA","FG","X3PM","X3PA","X3P","FTM","FTA","FT","OR","DR","REB","AST","STL","BLK","TO","PF","season","playoffs"
"195","Sacramento Kings",99.4,38.2,85.1,44.9,5.2,15.6,33.5,17.7,24.2,73.4,13.1,30.8,43.9,20.4,7.4,4.8,16.1,22,2011,0
"196","Orlando Magic",99.2,36,78.2,46.1,9.4,25.6,36.6,17.7,25.6,69.2,10.5,32.7,43.2,20,6.7,4.7,14.9,20,2011,1
"197","Toronto Raptors",99.1,38.3,82.4,46.5,4.2,13.3,31.6,18.2,24.1,75.5,11.7,28.6,40.3,21.9,7.1,4.3,14.7,22,2011,0
"198","Philadelphia 76ers",99,38.1,82.6,46.1,5.4,15.2,35.5,17.4,22.6,77,10.4,31.4,41.8,22.7,7.6,4.3,13,19.4,2011,1
"199","LA Clippers",98.6,36.8,80.4,45.7,6.3,18.5,33.8,18.9,26.7,70.7,11.6,30.5,42.1,22.1,7.1,4.9,16.4,21.1,2011,0
"200","Chicago Bulls",98.6,37.1,80.3,46.2,6.2,17.3,36.1,18.2,24.5,74.3,11.8,32.4,44.2,22.3,7.2,5.7,14.2,20,2011,1
"201","Washington Wizards",97.3,37.2,84,44.3,4.8,14.4,33.2,18.2,24.4,74.5,12.4,29,41.3,19.4,8.1,6.1,15.3,22.6,2011,0
"202","Detroit Pistons",97,37.3,81.1,46,5.8,15.3,37.6,16.7,22.6,73.7,11.4,27.3,38.6,21.1,7.3,4,13,19.9,2011,0
"203","Boston Celtics",96.5,36.9,75.8,48.6,5,13.6,36.5,17.8,23.1,77,7.8,31,38.8,23.4,8.2,4.2,14.6,20.5,2011,1
"204","Portland Trail Blazers",96.3,36,80.5,44.7,6.3,18.3,34.5,18,22.4,80.4,12.1,27.2,39.3,21.2,8,4.4,13,19.3,2011,1
"205","Cleveland Cavaliers",95.5,35.2,81.1,43.4,6.2,18.2,34.2,18.9,25.3,74.5,10.4,29.9,40.3,21,6.6,4.2,14.2,20.1,2011,0
"206","Atlanta Hawks",95,36.2,78.4,46.2,6.1,17.4,35.2,16.4,21.1,77.9,9.3,30,39.3,22,6.1,4.2,13.6,19,2011,1
"207","New Orleans Hornets",94.9,35.9,78.2,45.9,5.4,15,36,17.7,23.1,76.5,10,30.1,40.1,20.6,7.6,4.4,13,21,2011,1
"208","New Jersey Nets",94.2,35.6,81,44,5.6,16.3,34.3,17.4,22.9,75.9,11.1,29.8,40.8,21,5.6,4.7,14,22,2011,0
"209","Charlotte Bobcats",93.3,35,77.6,45.1,4.8,14.7,32.7,18.4,24.4,75.6,10.3,29.8,40.1,21.1,6.4,5.3,14.5,20,2011,0
"210","Milwaukee Bucks",91.9,34.3,79.8,43,5.9,17.2,34.2,17.4,22.9,75.7,10.5,30.2,40.8,18.8,7.5,4.9,13.5,20.5,2011,0
"211","Denver Nuggets",104.1,39,81.9,47.6,6.6,19.9,33.2,19.6,26.7,73.5,11.2,31.9,43.1,24,8.2,5,15.4,19.7,2012,1
"212","San Antonio Spurs",103.7,39.6,82.8,47.8,8.4,21.3,39.3,16.2,21.6,74.8,10.3,32.6,43,23.2,7.4,4.4,13.6,17.3,2012,1
"213","Oklahoma City Thunder",103.1,37.3,79.2,47.1,7.2,20,35.8,21.3,26.4,80.6,11,32.7,43.7,18.5,7.5,8.2,16.3,20.5,2012,1
"214","Utah Jazz",99.7,38.2,83.8,45.6,4.1,12.8,32.3,19.1,25.3,75.4,13,31.1,44.2,21.8,8.3,5.8,14.2,21.8,2012,1
"215","Milwaukee Bucks",99,37.9,85.6,44.3,6.6,19.2,34.5,16.6,21.4,77.4,12.4,30,42.5,23.5,8.3,5.1,14.1,19.3,2012,0
"216","Sacramento Kings",98.8,37.7,86.5,43.6,6.2,19.7,31.6,17.1,23.2,73.6,13.4,29.5,42.9,19.3,8.5,4.9,14.4,19.5,2012,0
"217","Miami Heat",98.5,37.1,79,46.9,5.6,15.6,35.9,18.8,24.2,77.5,10.4,31.2,41.6,20,8.9,5.4,15.2,19.4,2012,1
"218","Phoenix Suns",98.4,37.8,82.5,45.8,6.7,19.6,34.3,16,21.2,75.7,10.9,30.8,41.7,22.5,6.5,5.5,14.1,18.7,2012,0
"219","Houston Rockets",98.1,37.7,84,44.9,7.2,20.2,35.9,15.4,19.7,78.2,11.7,30.5,42.2,21.3,7.5,4.8,14.5,20.4,2012,0
"220","Minnesota Timberwolves",97.9,35.7,82.3,43.3,7.2,21.6,33.2,19.4,25.2,77.1,12.1,31.7,43.7,19.5,6.6,4.4,15.2,18.4,2012,0
"221","New York Knicks",97.8,35.8,80.8,44.3,7.8,23.3,33.6,18.3,24.8,74.1,11.3,30.5,41.7,20.1,9.4,4.2,16,21.1,2012,1
"222","Golden State Warriors",97.8,37.7,82.5,45.7,7.9,20.5,38.8,14.4,18.7,77,9.7,29.5,39.2,22.3,8,5.5,13.9,21.4,2012,0
"223","Indiana Pacers",97.7,35.7,81.4,43.8,5.9,16.1,36.8,20.4,26.1,78.2,12.5,31.4,43.9,18.6,7.9,5.4,14,21.7,2012,1
"224","LA Clippers",97.5,37,81.3,45.5,7.8,21.8,35.7,15.8,23.3,68,12.1,29.4,41.6,21,8.4,4.8,13.3,21.2,2012,1
"225","Los Angeles Lakers",97.3,36.8,80.6,45.7,5.5,16.8,32.6,18.2,24.1,75.6,12.1,34.1,46.2,22.5,5.9,5.3,15.1,16.8,2012,1
"226","Portland Trail Blazers",97.2,36.4,82.1,44.3,7.2,20.9,34.6,17.2,21.6,79.6,11.1,29.5,40.7,20.4,8,4.9,14.2,19,2012,0
"227","Atlanta Hawks",96.6,36.8,81,45.4,7.5,20.2,37,15.5,21,74,9.9,31.3,41.2,22.4,8.1,4.6,14,17.8,2012,1
"228","Chicago Bulls",96.3,37.4,82.8,45.2,6.3,16.9,37.5,15.2,21.1,72.2,13.9,32.8,46.7,23.1,6.9,5.9,14,17.3,2012,1
"229","Dallas Mavericks",95.8,36.3,82,44.3,7.5,22.2,33.9,15.6,20.2,77.1,10.1,32.7,42.8,20.9,8.6,5.1,14,18.6,2012,1
"230","Memphis Grizzlies",95,36.7,82.2,44.7,4.2,12.9,32.6,17.3,22.8,75.9,12.6,29.5,42,19.5,9.6,5.2,14.5,19.9,2012,1
"231","Orlando Magic",94.2,34.5,78.2,44.1,10.2,27,37.5,15.1,22.8,66,11.2,31.2,42.5,20,6.8,4.2,14.9,17.7,2012,1
"232","Philadelphia 76ers",93.6,37.4,83.6,44.8,5.3,14.6,36.2,13.5,18.2,74.2,10.7,32.5,43.2,22,8,5.2,11.2,17.5,2012,1
"233","Washington Wizards",93.6,36.6,83,44.1,5.2,16.3,32,15.3,21,72.7,11.7,29.9,41.7,19.1,8,6.3,15.3,21.3,2012,0
"234","New Jersey Nets",93.1,34.3,80.6,42.5,7.7,22.4,34.2,16.9,21.7,77.7,11.9,28.5,40.3,19.9,7.5,3.9,15.1,19.2,2012,0
"235","Cleveland Cavaliers",93,34.3,81.2,42.2,6.7,19.3,34.6,17.8,24.9,71.6,12.7,29.5,42.3,19.8,7.1,4,15.4,20,2012,0
"236","Boston Celtics",91.8,35.5,77.1,46,5.5,15,36.7,15.4,19.8,77.8,7.7,31.1,38.8,23.6,7.5,5.5,14.8,19.9,2012,1
"237","Detroit Pistons",90.9,34.7,79.3,43.8,4.8,13.9,34.6,16.6,22.1,75.2,11.7,28.5,40.3,18.7,7,4.2,15.7,19.6,2012,0
"238","Toronto Raptors",90.7,34.4,78.1,44,5.5,16.3,34,16.4,21.4,76.9,10.6,31.4,42,20.9,6.5,4.9,15.2,23.2,2012,0
"239","New Orleans Hornets",89.6,34.8,77.3,45.1,3.9,11.8,33.3,16,21.2,75.7,11,30.2,41.1,20.7,7.4,4.8,15.5,20.1,2012,0
"240","Charlotte Bobcats",87,33.2,80.2,41.4,4,13.5,29.5,16.5,22.2,74.6,10.3,28.7,39,20.1,6,5.5,14.5,18.9,2012,0
"241","Denver Nuggets",106.1,40.7,85.2,47.8,6.4,18.5,34.3,18.4,26.2,70.1,13.3,31.7,45,24.4,9.3,6.5,14.7,20.5,2013,1
"242","Houston Rockets",106,38.1,82.7,46.1,10.6,28.9,36.6,19.2,25.5,75.4,11.1,32.3,43.4,23.2,8.3,4.4,15.8,20.3,2013,1
"243","Oklahoma City Thunder",105.7,38.1,79.3,48.1,7.3,19.4,37.7,22.2,26.8,82.8,10.4,33.2,43.6,21.4,8.3,7.6,14.6,20.2,2013,1
"244","San Antonio Spurs",103,39.1,81.4,48.1,8.1,21.5,37.6,16.6,21,79.1,8.1,33.2,41.3,25.1,8.5,5.4,14.1,17.4,2013,1
"245","Miami Heat",102.9,38.4,77.4,49.6,8.7,22.1,39.6,17.4,23,75.4,8.2,30.4,38.6,23,8.7,5.4,13.3,18.7,2013,1
"246","Los Angeles Lakers",102.2,37.1,81,45.8,8.7,24.6,35.5,19.3,27.9,69.2,11.5,33.3,44.8,22.2,7,5.2,14.6,17.9,2013,1
"247","Golden State Warriors",101.2,38.2,83.4,45.8,8,19.9,40.3,16.8,21.3,79,10.8,34.2,45,22.5,6.9,4.2,14.8,21.4,2013,1
"248","Dallas Mavericks",101.1,38.8,84,46.2,7.4,19.9,37.2,16.1,20.4,79.3,9.4,32.6,41.9,23.2,7.9,5.5,13.5,20.7,2013,0
